,MAT2A,control,UBA1,UBA1_MAT2A,RAB7A,MAP3K12,RAB7A_MAT2A,MAP3K12_MAT2A,RFK,MMAB,PPP2R1A,HACD2,MMAB_MAT2A,RFK_MAT2A,UQCRQ,MAP3K12_UBA1_MAT2A,PPP2R1A_MAT2A,PPCDC,MAP3K12_UBA1,UROD,HACD2_MAT2A,MVK,UBA1_RAB7A,PPCDC_MAT2A,UQCRQ_MAT2A,UBA1_RFK_MAT2A,UBA1_RFK,UBA1_RAB7A_MAT2A
MAT2A,0.0,0.0413417921020761,0.038213889273946054,0.04305686263495744,0.04957501923036775,0.03590639399291609,0.0401420323743736,0.04148274392425007,0.05226026955171927,0.042064608301608394,0.04490762218878319,0.03894925643945066,0.03400381988413747,0.03959497473697185,0.04997484055333059,0.033459285157368596,0.04550784189377309,0.04358636089404651,0.03963582633697335,0.042732951386447504,0.043887730734753855,0.04434470579187756,0.04251959388082925,0.041677529157318996,0.036190663163675175,0.04642612884518971,0.049689017870841595,0.0335870481205955
control,0.0413417921020761,0.0,0.05045883070207741,0.04707202487478339,0.05898651212551892,0.056191133232698684,0.05254322826258902,0.0472259020561978,0.05960754204438388,0.054233034464920574,0.05855880745642247,0.06420493322596876,0.042836955449226895,0.049124634440624725,0.053961327921806676,0.061874045387135757,0.05337823815622854,0.05217238704771453,0.05113615020807186,0.04612737263065019,0.05047665783224439,0.04891336532425817,0.05601386819291174,0.043019946997770585,0.04604787095810164,0.05134650796417878,0.052999910498020435,0.04527469552395778
UBA1,0.038213889273946054,0.05045883070207741,0.0,0.04475254250503878,0.04548968571892775,0.05164439808161393,0.05256048076810124,0.05115801008584432,0.053714058498872556,0.06206577810286396,0.05463101561025292,0.053326607173344656,0.05421023493121972,0.043260441371815464,0.06604649342786512,0.060569340653761614,0.0408731414902065,0.05212950268452986,0.04341238520198088,0.049276116144221435,0.0549657593263603,0.05279031712315735,0.06006046740792752,0.03611417779156341,0.04589357277915296,0.03791138638542502,0.040845190860989825,0.040532037709705294
UBA1_MAT2A,0.04305686263495744,0.04707202487478339,0.04475254250503878,0.0,0.06313845045595819,0.05318637462385662,0.0483279885020009,0.04921105882268689,0.052763964089837925,0.0446443007677577,0.05961950320109024,0.04636828760072653,0.039635644721649765,0.04131789859776115,0.05119361971232458,0.04600368315765564,0.05032842694485972,0.04905913965133315,0.049466660267697436,0.05866756406956421,0.059011661602466736,0.05311128054848903,0.042191834064775335,0.03735211883640873,0.041159878379133104,0.042251643625595685,0.03634752186148188,0.03471507900368405
RAB7A,0.04957501923036775,0.05898651212551892,0.04548968571892775,0.06313845045595819,0.0,0.05754533843880418,0.04663367463815512,0.053621338149645766,0.0651416613478412,0.04822257881322955,0.07167375849339601,0.055643984955952984,0.04077846644211362,0.050964236885738104,0.053606221411758706,0.04546039339916735,0.06872290840777344,0.05554454184069092,0.0643886983210045,0.047030669161624995,0.045887310175944634,0.06597307781837712,0.0537417004051679,0.04684107456956456,0.054651517334063454,0.04219374307165857,0.042790384865787394,0.04665418606427218
MAP3K12,0.03590639399291609,0.056191133232698684,0.05164439808161393,0.05318637462385662,0.05754533843880418,0.0,0.052067025981811926,0.0504066117920369,0.07429544522405303,0.060371998023499164,0.07172766115352583,0.05504461744355878,0.0545886502601486,0.04887625753204445,0.04805687538901986,0.046949871002459405,0.052311703737893935,0.05116619869167098,0.059142617844653064,0.05732756784443552,0.06465108041367576,0.0649964984516066,0.049438162018351176,0.04066949068971992,0.06222450148404335,0.04657771821779605,0.04462914587441884,0.03762678690408624
RAB7A_MAT2A,0.0401420323743736,0.05254322826258902,0.05256048076810124,0.0483279885020009,0.04663367463815512,0.052067025981811926,0.0,0.040053188590155914,0.05721421234477635,0.05270925105483454,0.06266636510251622,0.049153070508620375,0.03758205693712413,0.037734152974926286,0.05765776825409238,0.05475238046321803,0.04522268205949198,0.05443977550075052,0.03901840539412199,0.04421352895620582,0.04682870470851641,0.05290503418492793,0.05275235529714399,0.03906510223327869,0.04723795697016759,0.04978986283379945,0.053284868754872206,0.036181373317716835
MAP3K12_MAT2A,0.04148274392425007,0.0472259020561978,0.05115801008584432,0.04921105882268689,0.053621338149645766,0.0504066117920369,0.040053188590155914,0.0,0.05660435072429039,0.04589476060352677,0.051268270537300445,0.047481811383544834,0.04104234086734173,0.039600827210856046,0.05510721231671397,0.03852378692764144,0.04107190931670155,0.04634093787407205,0.046662402838235126,0.04558655001151786,0.03795452612448014,0.04119944975222391,0.03968049950581623,0.038930130606895375,0.04482022665811509,0.04057836441301557,0.044842273183740025,0.039251782241229424
RFK,0.05226026955171927,0.05960754204438388,0.053714058498872556,0.052763964089837925,0.0651416613478412,0.07429544522405303,0.05721421234477635,0.05660435072429039,0.0,0.058154703594346366,0.06561509064664184,0.058619667703911416,0.04611805589603212,0.045478150558076386,0.05567472965127203,0.0566144003521708,0.046784922420390514,0.06680476990909233,0.058024805385646895,0.05969139787050021,0.0728121143452234,0.05785046416367483,0.04623388525156678,0.04462647491707474,0.05516078351554332,0.047530461998276,0.05115079954333378,0.03888811146830137
MMAB,0.042064608301608394,0.054233034464920574,0.06206577810286396,0.0446443007677577,0.04822257881322955,0.060371998023499164,0.05270925105483454,0.04589476060352677,0.058154703594346366,0.0,0.07016747756327527,0.05844189813933613,0.042766446707869256,0.04893776157914478,0.05315159921356259,0.05213939803990552,0.04107932391745448,0.0564949801194051,0.04943627549933614,0.052759480854548214,0.06267835768263108,0.05050719116945778,0.06488248720112466,0.04139767134653112,0.045157275381381444,0.050899798968715576,0.047371141958424026,0.04361274425610607
PPP2R1A,0.04490762218878319,0.05855880745642247,0.05463101561025292,0.05961950320109024,0.07167375849339601,0.07172766115352583,0.06266636510251622,0.051268270537300445,0.06561509064664184,0.07016747756327527,0.0,0.06442319000993349,0.045036439015181375,0.047757525192498804,0.06464668572219297,0.056609559616496864,0.05554210531552285,0.05969122044509752,0.0533945665550221,0.05472182517882721,0.05794536621429151,0.057593514886743594,0.07018499761773726,0.04056192185482107,0.04965481656914475,0.046350815978889744,0.04880175407575942,0.03436870272752857
HACD2,0.03894925643945066,0.06420493322596876,0.053326607173344656,0.04636828760072653,0.055643984955952984,0.05504461744355878,0.049153070508620375,0.047481811383544834,0.058619667703911416,0.05844189813933613,0.06442319000993349,0.0,0.047078260887985716,0.042534662731692756,0.05210773534147466,0.05372401072700881,0.050081407624868644,0.051156921719084175,0.05740901016744638,0.04660784757417981,0.0605219884163005,0.07076680287040041,0.04984693787226107,0.0453087364462742,0.04041956968266866,0.04260818111021617,0.04017949675324452,0.03958841681569589
MMAB_MAT2A,0.03400381988413747,0.042836955449226895,0.05421023493121972,0.039635644721649765,0.04077846644211362,0.0545886502601486,0.03758205693712413,0.04104234086734173,0.04611805589603212,0.042766446707869256,0.045036439015181375,0.047078260887985716,0.0,0.03044276916305092,0.038784692107691046,0.04840625377564,0.04946279969178302,0.04477956265096557,0.04373536803624166,0.04056164911052079,0.0518463672853886,0.048589463510455344,0.03720601090979755,0.03564959601101052,0.03295721456282054,0.03416717880128501,0.03646151362864335,0.035509583828916655
RFK_MAT2A,0.03959497473697185,0.049124634440624725,0.043260441371815464,0.04131789859776115,0.050964236885738104,0.04887625753204445,0.037734152974926286,0.039600827210856046,0.045478150558076386,0.04893776157914478,0.047757525192498804,0.042534662731692756,0.03044276916305092,0.0,0.053733174366098035,0.040284141815545876,0.035835487208295935,0.052706323961765514,0.04801288687018716,0.04376555284108331,0.04890974380652866,0.04606714846300344,0.047261122207119616,0.03894936917917579,0.051285341467873904,0.03446457045359756,0.031611165691828036,0.03749931904216971
UQCRQ,0.04997484055333059,0.053961327921806676,0.06604649342786512,0.05119361971232458,0.053606221411758706,0.04805687538901986,0.05765776825409238,0.05510721231671397,0.05567472965127203,0.05315159921356259,0.06464668572219297,0.05210773534147466,0.038784692107691046,0.053733174366098035,0.0,0.04667244870096174,0.05007327257723522,0.05730887427499104,0.0553086317622051,0.048042429317838406,0.05749967872169956,0.058591988348256685,0.05964014688363147,0.040341629767936794,0.04224855013594385,0.04517994994476593,0.04968268343834342,0.037175770324112276
MAP3K12_UBA1_MAT2A,0.033459285157368596,0.061874045387135757,0.060569340653761614,0.04600368315765564,0.04546039339916735,0.046949871002459405,0.05475238046321803,0.03852378692764144,0.0566144003521708,0.05213939803990552,0.056609559616496864,0.05372401072700881,0.04840625377564,0.040284141815545876,0.04667244870096174,0.0,0.039781033381304606,0.05324926203726449,0.047341357965629646,0.05512748124771172,0.05997964840276021,0.0521314791142347,0.050547550586335824,0.034076434444667396,0.04727865607910415,0.052332616634738496,0.03929017283305043,0.03428645986160976
PPP2R1A_MAT2A,0.04550784189377309,0.05337823815622854,0.0408731414902065,0.05032842694485972,0.06872290840777344,0.052311703737893935,0.04522268205949198,0.04107190931670155,0.046784922420390514,0.04107932391745448,0.05554210531552285,0.050081407624868644,0.04946279969178302,0.035835487208295935,0.05007327257723522,0.039781033381304606,0.0,0.04294305623192441,0.055793764325293545,0.039852961474603626,0.04523550584304742,0.049084316285709306,0.04254482654113559,0.04346252497421684,0.04343235481068214,0.038365539647165575,0.047041248545858776,0.041257511282812034
PPCDC,0.04358636089404651,0.05217238704771453,0.05212950268452986,0.04905913965133315,0.05554454184069092,0.05116619869167098,0.05443977550075052,0.04634093787407205,0.06680476990909233,0.0564949801194051,0.05969122044509752,0.051156921719084175,0.04477956265096557,0.052706323961765514,0.05730887427499104,0.05324926203726449,0.04294305623192441,0.0,0.053388465847850064,0.04627868391207101,0.05915356429917569,0.06402752659600851,0.05259877627316342,0.04098613888112028,0.04349352283777194,0.04720800660094175,0.04887923826186191,0.03957411158252425
MAP3K12_UBA1,0.03963582633697335,0.05113615020807186,0.04341238520198088,0.049466660267697436,0.0643886983210045,0.059142617844653064,0.03901840539412199,0.046662402838235126,0.058024805385646895,0.04943627549933614,0.0533945665550221,0.05740901016744638,0.04373536803624166,0.04801288687018716,0.0553086317622051,0.047341357965629646,0.055793764325293545,0.053388465847850064,0.0,0.03912421601232378,0.05057824823388151,0.052219077311578606,0.041384360623963806,0.041812279940564086,0.05260688605784429,0.03579762991802698,0.04968246661018259,0.039270558099626526
UROD,0.042732951386447504,0.04612737263065019,0.049276116144221435,0.05866756406956421,0.047030669161624995,0.05732756784443552,0.04421352895620582,0.04558655001151786,0.05969139787050021,0.052759480854548214,0.05472182517882721,0.04660784757417981,0.04056164911052079,0.04376555284108331,0.048042429317838406,0.05512748124771172,0.039852961474603626,0.04627868391207101,0.03912421601232378,0.0,0.05644302651118378,0.046436458075490364,0.04758430174036829,0.03490852568853382,0.053042074101373585,0.04201869304617539,0.05182664379086925,0.032140705173122626
HACD2_MAT2A,0.043887730734753855,0.05047665783224439,0.0549657593263603,0.059011661602466736,0.045887310175944634,0.06465108041367576,0.04682870470851641,0.03795452612448014,0.0728121143452234,0.06267835768263108,0.05794536621429151,0.0605219884163005,0.0518463672853886,0.04890974380652866,0.05749967872169956,0.05997964840276021,0.04523550584304742,0.05915356429917569,0.05057824823388151,0.05644302651118378,0.0,0.06460668929967059,0.048150954793814024,0.03807141842581879,0.040925416291482164,0.03884134083236339,0.03940855442960141,0.0325564108523846
MVK,0.04434470579187756,0.04891336532425817,0.05279031712315735,0.05311128054848903,0.06597307781837712,0.0649964984516066,0.05290503418492793,0.04119944975222391,0.05785046416367483,0.05050719116945778,0.057593514886743594,0.07076680287040041,0.048589463510455344,0.04606714846300344,0.058591988348256685,0.0521314791142347,0.049084316285709306,0.06402752659600851,0.052219077311578606,0.046436458075490364,0.06460668929967059,0.0,0.04835162380572318,0.043164335687694344,0.04340531217853678,0.04439773604644129,0.04208332146744916,0.03534037787243654
UBA1_RAB7A,0.04251959388082925,0.05601386819291174,0.06006046740792752,0.042191834064775335,0.0537417004051679,0.049438162018351176,0.05275235529714399,0.03968049950581623,0.04623388525156678,0.06488248720112466,0.07018499761773726,0.04984693787226107,0.03720601090979755,0.047261122207119616,0.05964014688363147,0.050547550586335824,0.04254482654113559,0.05259877627316342,0.041384360623963806,0.04758430174036829,0.048150954793814024,0.04835162380572318,0.0,0.03628453337655307,0.048527662378831285,0.05342770536201262,0.04185572145432773,0.036057384447434775
PPCDC_MAT2A,0.041677529157318996,0.043019946997770585,0.03611417779156341,0.03735211883640873,0.04684107456956456,0.04066949068971992,0.03906510223327869,0.038930130606895375,0.04462647491707474,0.04139767134653112,0.04056192185482107,0.0453087364462742,0.03564959601101052,0.03894936917917579,0.040341629767936794,0.034076434444667396,0.04346252497421684,0.04098613888112028,0.041812279940564086,0.03490852568853382,0.03807141842581879,0.043164335687694344,0.03628453337655307,0.0,0.03272652197017741,0.03372851942216118,0.031870612875807364,0.03579201020365423
UQCRQ_MAT2A,0.036190663163675175,0.04604787095810164,0.04589357277915296,0.041159878379133104,0.054651517334063454,0.06222450148404335,0.04723795697016759,0.04482022665811509,0.05516078351554332,0.045157275381381444,0.04965481656914475,0.04041956968266866,0.03295721456282054,0.051285341467873904,0.04224855013594385,0.04727865607910415,0.04343235481068214,0.04349352283777194,0.05260688605784429,0.053042074101373585,0.040925416291482164,0.04340531217853678,0.048527662378831285,0.03272652197017741,0.0,0.04092477995409396,0.04511663559495203,0.04459258017910131
UBA1_RFK_MAT2A,0.04642612884518971,0.05134650796417878,0.03791138638542502,0.042251643625595685,0.04219374307165857,0.04657771821779605,0.04978986283379945,0.04057836441301557,0.047530461998276,0.050899798968715576,0.046350815978889744,0.04260818111021617,0.03416717880128501,0.03446457045359756,0.04517994994476593,0.052332616634738496,0.038365539647165575,0.04720800660094175,0.03579762991802698,0.04201869304617539,0.03884134083236339,0.04439773604644129,0.05342770536201262,0.03372851942216118,0.04092477995409396,0.0,0.04631695772136765,0.03249768720248958
UBA1_RFK,0.049689017870841595,0.052999910498020435,0.040845190860989825,0.03634752186148188,0.042790384865787394,0.04462914587441884,0.053284868754872206,0.044842273183740025,0.05115079954333378,0.047371141958424026,0.04880175407575942,0.04017949675324452,0.03646151362864335,0.031611165691828036,0.04968268343834342,0.03929017283305043,0.047041248545858776,0.04887923826186191,0.04968246661018259,0.05182664379086925,0.03940855442960141,0.04208332146744916,0.04185572145432773,0.031870612875807364,0.04511663559495203,0.04631695772136765,0.0,0.04264444295486884
UBA1_RAB7A_MAT2A,0.0335870481205955,0.04527469552395778,0.040532037709705294,0.03471507900368405,0.04665418606427218,0.03762678690408624,0.036181373317716835,0.039251782241229424,0.03888811146830137,0.04361274425610607,0.03436870272752857,0.03958841681569589,0.035509583828916655,0.03749931904216971,0.037175770324112276,0.03428645986160976,0.041257511282812034,0.03957411158252425,0.039270558099626526,0.032140705173122626,0.0325564108523846,0.03534037787243654,0.036057384447434775,0.03579201020365423,0.04459258017910131,0.03249768720248958,0.04264444295486884,0.0
